raw_x,raw_y,raw_z,raw_yaw,filt_x,filt_y,filt_z,filt_yaw
2.1264,-0.235242,0.353751,-1.62506,2.13865,-0.234907,0.354064,-1.6641
2.18087,-0.255566,0.362096,-1.60293,2.16203,-0.254468,0.359031,-1.65673
2.13037,-0.266659,0.354979,-1.60874,2.13701,-0.267979,0.356074,-1.65071
2.18458,-0.291852,0.36571,-1.59842,2.17032,-0.289929,0.363218,-1.64348
2.21349,-0.312557,0.363434,1.58439,2.20696,-0.311823,0.364233,-1.63039
2.25405,-0.336819,0.378305,-1.57987,2.24973,-0.335902,0.37562,-1.62189
2.30101,-0.360295,0.383972,-1.56165,2.2978,-0.359947,0.38384,-1.61134
2.28292,-0.375248,0.381488,-1.54241,2.29605,-0.377103,0.383818,-1.5988
2.40889,-0.411579,0.402872,-1.54826,2.38718,-0.408258,0.399301,-1.58837
2.47788,-0.440473,0.414131,-1.54734,2.47141,-0.439231,0.413197,-1.5789
2.60486,-0.480419,0.434658,-1.52335,2.59187,-0.477754,0.43268,-1.56677
2.72927,-0.520223,0.451176,-1.53868,2.72154,-0.518532,0.450799,-1.55833
2.83572,-0.556255,0.465296,-1.53662,2.83686,-0.556428,0.465994,-1.55063
3.08789,-0.624037,0.51052,-1.4693,3.05781,-0.61743,0.504157,-1.53349
3.28314,-0.685537,0.538841,-1.46228,3.27307,-0.681947,0.537696,-1.51709
3.15702,-0.0861034,0.506307,-1.71381,3.22823,-0.233029,0.520514,-1.54155
2.96677,-0.0975016,0.480006,-1.71548,3.03686,-0.0716937,0.489531,-1.56471
2.87741,-0.109984,0.464337,-1.69381,2.89145,-0.0574348,0.46592,-1.58287
2.69895,-0.119672,0.43902,-1.70303,2.71376,-0.0866342,0.440236,-1.60109
2.58624,-0.131495,0.418926,-1.68315,2.57947,-0.117993,0.418313,-1.61472
2.5359,-0.145506,0.409725,1.48306,2.51352,-0.142285,0.406551,-1.62331
2.36771,-0.155813,0.388741,-1.67478,2.37884,-0.157251,0.389137,-1.63354
2.2585,-0.16491,0.369804,-1.68404,2.25865,-0.166983,0.370354,-1.64416
2.25561,-0.181406,0.37253,-1.62552,2.22939,-0.180981,0.367998,-1.64457
2.19672,-0.192696,0.363058,-1.66871,2.18956,-0.19308,0.362267,-1.65137
2.21295,-0.211443,0.367627,-1.63253,2.19662,-0.210155,0.364901,-1.65173
2.16028,-0.222923,0.360253,-1.63831,2.16506,-0.223499,0.361061,-1.65268
2.18892,-0.243471,0.365361,-1.63348,2.17795,-0.242159,0.363781,-1.65255
2.13857,-0.254229,0.357143,-1.6208,2.14697,-0.25531,0.358763,-1.65022
2.10463,-0.266735,0.352342,-1.63303,2.10971,-0.267448,0.353146,-1.64977
2.14816,-0.289077,0.360761,-1.60364,2.13273,-0.287166,0.358039,-1.64461
2.16016,-0.305933,0.360275,-1.617,2.15451,-0.305568,0.360047,-1.64179
2.25478,-0.339607,0.377844,-1.58619,2.23547,-0.335991,0.374236,-1.63431
2.28508,-0.359056,0.383479,-1.58117,2.28627,-0.359612,0.383497,-1.62658
2.36366,-0.390845,0.394757,-1.55497,2.35806,-0.389307,0.394314,-1.6154
2.38499,-0.409303,0.396978,-1.56238,2.39335,-0.411012,0.398671,-1.60632
2.5481,-0.461671,0.424267,-1.53877,2.52386,-0.455698,0.420019,-1.59441
2.59031,-0.487285,0.431254,-1.55471,2.59733,-0.488415,0.432236,-1.5861
2.77699,-0.534642,0.459394,-1.56156,2.75531,-0.531955,0.456342,-1.57973
2.88282,-0.57666,0.478423,-1.5364,2.88309,-0.575587,0.477954,-1.57021
3.08494,-0.63005,0.506474,-1.54306,3.06843,-0.627298,0.504784,-1.56276
3.2485,-0.679509,0.53059,-1.52076,3.24468,-0.678564,0.530308,-1.55275
3.92091,-0.0636442,0.618251,-1.73884,3.80769,-0.212677,0.604175,-1.57771
3.49552,-0.0721806,0.556867,-1.72074,3.65745,-0.0443195,0.57977,-1.59809
3.24147,-0.0804935,0.519196,-1.70932,3.35,-0.0262242,0.53423,-1.61512
3.04161,-0.0913749,0.487999,-1.72856,3.07465,-0.0563037,0.4927,-1.63373
2.81422,-0.0995463,0.454898,-1.68277,2.82087,-0.0859894,0.455485,-1.64357
2.74189,-0.113285,0.443374,-1.69736,2.70472,-0.109721,0.437924,-1.65466
2.55297,-0.121907,0.415008,-1.65828,2.5497,-0.123417,0.41456,-1.65853
2.49652,-0.13379,0.402353,1.4703,2.47271,-0.134992,0.399717,-1.6638
2.30867,-0.154667,0.379042,-1.65875,2.32098,-0.153215,0.379552,-1.66642
2.26379,-0.168775,0.370285,-1.65165,2.24632,-0.168933,0.367996,-1.66742
2.18309,-0.177695,0.360294,-1.63049,2.17524,-0.179302,0.358739,-1.66478
2.157,-0.194535,0.356658,-1.64254,2.14278,-0.193931,0.354579,-1.66398
2.17656,-0.210836,0.361275,-1.61259,2.15742,-0.210143,0.358213,-1.65837
2.15171,-0.224064,0.357558,-1.60651,2.15048,-0.224368,0.357593,-1.6521
2.2068,-0.248384,0.367203,-1.60256,2.19225,-0.246282,0.364921,-1.64559
2.19191,-0.262268,0.363543,-1.59712,2.19695,-0.262961,0.364804,-1.63869
2.15669,-0.277382,0.359785,-1.61607,2.16829,-0.278098,0.361265,-1.63526
2.15839,-0.294134,0.360546,-1.58589,2.15769,-0.294149,0.360362,-1.62743
2.19751,-0.317508,0.366085,-1.58651,2.186,-0.315875,0.364544,-1.62037
2.22596,-0.337635,0.370992,-1.57471,2.21987,-0.337133,0.370018,-1.61214
2.30239,-0.371875,0.381557,-1.56194,2.28964,-0.368701,0.379903,-1.60272
2.39259,-0.404532,0.400992,-1.53343,2.3813,-0.402617,0.397981,-1.5898
2.38019,-0.417691,0.396193,-1.56284,2.39757,-0.421335,0.399735,-1.58272
2.53391,-0.462534,0.417155,-1.54029,2.51225,-0.458597,0.414715,-1.57298
2.66461,-0.504259,0.440564,-1.5387,2.64961,-0.501186,0.43739,-1.56408
2.82653,-0.553291,0.465977,-1.503,2.81313,-0.550228,0.463692,-1.55069
2.9712,-0.596461,0.489152,-1.509,2.96837,-0.596164,0.48865,-1.53969
3.14774,-0.647,0.513666,-1.47676,3.14148,-0.645812,0.513501,-1.52499
3.46612,-0.727779,0.561324,-1.44465,3.43026,-0.720176,0.556125,-1.50697
3.69368,-0.0650417,0.586086,-1.76302,3.68852,-0.226251,0.587352,-1.54032
3.44577,-0.0770266,0.551621,-1.75883,3.5565,-0.0485201,0.567012,-1.57075
3.18023,-0.0845641,0.51065,-1.78279,3.26847,-0.0280278,0.523379,-1.60261
3.00142,-0.0953746,0.484318,-1.75317,3.0234,-0.0585883,0.487142,-1.62728
2.86563,-0.106324,0.467041,-1.72815,2.85271,-0.0913493,0.464279,-1.64588
2.75948,-0.117647,0.44889,-1.72236,2.73821,-0.114566,0.446379,-1.66176
2.6124,-0.129029,0.420288,1.49458,2.6085,-0.130059,0.421365,-1.66428
2.43555,-0.136019,0.399987,-1.71333,2.44406,-0.138468,0.399497,-1.67647
2.37045,-0.148697,0.388975,-1.71724,2.35267,-0.14903,0.386284,-1.68786
2.25995,-0.161566,0.373713,-1.67144,2.25487,-0.161224,0.372756,-1.69075
2.22967,-0.175591,0.369026,-1.68976,2.21186,-0.175001,0.36654,-1.69579
2.19873,-0.188582,0.364808,-1.64979,2.18665,-0.188447,0.363052,-1.69377
2.20214,-0.205546,0.359403,1.53613,2.18936,-0.204687,0.358908,-1.68461
2.20439,-0.22281,0.367544,-1.6136,2.19777,-0.222128,0.36453,-1.67711
2.12647,-0.232902,0.353859,-1.62553,2.14233,-0.23419,0.356599,-1.6718
2.15444,-0.250524,0.351936,1.55733,2.1441,-0.249956,0.352032,-1.6603
2.19274,-0.270752,0.366206,-1.6103,2.17911,-0.269453,0.362035,-1.65364
2.16777,-0.287489,0.362828,-1.585,2.17404,-0.287423,0.363631,-1.64353
2.19674,-0.307301,0.366791,-1.59872,2.19241,-0.306854,0.366683,-1.63635
2.22546,-0.329226,0.373547,-1.57992,2.22086,-0.328432,0.37266,-1.62688
2.27371,-0.358618,0.381588,-1.58143,2.26685,-0.356448,0.380658,-1.6185
2.39556,-0.394356,0.390929,1.61511,2.37495,-0.391483,0.390138,-1.60242
2.39618,-0.411648,0.398926,-1.54854,2.40941,-0.414112,0.398842,-1.59127
2.41141,-0.430482,0.400431,-1.54867,2.42269,-0.43263,0.402001,-1.58131
2.60144,-0.481786,0.433097,-1.50834,2.56776,-0.475569,0.42731,-1.56621
2.69043,-0.513837,0.445273,-1.54676,2.68527,-0.513004,0.445169,-1.55867
2.90661,-0.571904,0.478475,-1.52763,2.88178,-0.56684,0.474982,-1.54917
3.02453,-0.612974,0.495991,-1.51581,3.02907,-0.613169,0.496908,-1.53904
3.20332,-0.663263,0.524012,-1.47493,3.19865,-0.662479,0.523128,-1.52383
3.12551,-0.0882808,0.498882,-1.71302,3.1785,-0.227795,0.509926,-1.54728
2.92296,-0.098403,0.471745,-1.69605,2.99174,-0.0721688,0.480684,-1.56661
2.87235,-0.114177,0.465826,-1.71104,2.87806,-0.0619456,0.465305,-1.58695
2.55033,-0.126747,0.412718,-1.67402,2.60003,-0.0941349,0.4209,-1.60001
2.51217,-0.143097,0.411406,-1.68795,2.48458,-0.129475,0.406056,-1.61417
2.37184,-0.14979,0.388794,-1.71091,2.36288,-0.149038,0.387718,-1.63065
2.27316,-0.164179,0.366719,1.46799,2.26328,-0.164943,0.36699,-1.63982
2.28102,-0.180043,0.378621,-1.65857,2.25173,-0.180455,0.37145,-1.64569
2.25521,-0.195163,0.373711,-1.64564,2.24299,-0.195468,0.372035,-1.6488
2.22896,-0.210611,0.362965,1.52326,2.22644,-0.210674,0.364622,-1.64716
2.18697,-0.223177,0.364292,-1.63284,2.19135,-0.223802,0.363206,-1.64764
2.20462,-0.242877,0.359934,1.52495,2.19511,-0.241733,0.360021,-1.64535
2.18078,-0.255553,0.363286,-1.60908,2.18196,-0.256129,0.361867,-1.64186
2.13944,-0.267426,0.357751,-1.62784,2.14638,-0.268295,0.358658,-1.6414
2.16824,-0.288458,0.363263,-1.61657,2.15746,-0.286928,0.361786,-1.63909
2.19673,-0.309922,0.367909,-1.59209,2.18715,-0.308482,0.366791,-1.63304
2.22615,-0.331785,0.373284,-1.58644,2.22117,-0.330958,0.372613,-1.62653
2.2734,-0.355863,0.381535,-1.58096,2.26781,-0.355068,0.380637,-1.61965
2.27458,-0.373473,0.380101,-1.56916,2.28183,-0.374512,0.381748,-1.61151
2.39552,-0.409226,0.393301,1.62288,2.37537,-0.406118,0.391458,-1.59625
2.43181,-0.432777,0.406073,-1.55557,2.43403,-0.432946,0.404416,-1.58807
2.64742,-0.494456,0.441611,-1.53813,2.61342,-0.486734,0.435678,-1.57803
2.73028,-0.5246,0.452202,-1.53758,2.73401,-0.525833,0.453711,-1.56894
2.86499,-0.56919,0.473875,-1.54514,2.86379,-0.568609,0.473853,-1.56203
